"","id","nom_estab","raz_social","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta"
"1",6343520,"ACCOR HOTELS","SOCIEDAD INMOBILIARIA HOTELERA DE MEXICO SA DE CV",721111,"Hoteles con otros servicios integrados","11 a 30 personas","CALLE","LEIBNITZ","CALLE","TOLSTOI","CALLE","VÍCTOR HUGO","CALLE","DANTE",20,"","6","PISO 6",6,"","COLONIA","ANZURES","","","",11590,9,"CIUDAD DE MÉXICO",16,"Miguel Hidalgo",1,"Miguel Hidalgo","068A",24,"","","","Fijo",19.42589974,-99.17712177,"2010-07"
"2",6872782,"ACCOR MEXICO HOTELS","ACCOR MEXICO HOTELS SA DE CV",721111,"Hoteles con otros servicios integrados","11 a 30 personas","AVENIDA","PASEO DE LA REFORMA","AVENIDA","CHAPULTEPEC","CIRCUITO","INTERIOR","CALLE","SIN NOMBRE",373,"","EDIFICIO SIN NOMBRE","PISO 1",0,"","COLONIA","CUAUTEMOC","","","",6500,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","930",4,"","ALVARO.VALLE@ACCORINVEST.COM","","Fijo",19.42649969,-99.16959245,"2019-04"
"3",6869695,"ADMINISTRADORA DE HOTELES GRT","ADMINISTRADORA DE HOTELES GRT SA DE CV",721111,"Hoteles con otros servicios integrados","0 a 5 personas","AVENIDA","GENERAL MARIANO ESCOBEDO","CALLE","EMMANUEL KANT","CALLE","VÍCTOR HUGO","CALLE","LEIBNITZ",700,"","","",NA,"","COLONIA","ANZURES","","","",11590,9,"CIUDAD DE MÉXICO",16,"Miguel Hidalgo",1,"Miguel Hidalgo","068A",22,"","","","Fijo",19.42765558,-99.17949844,"2019-04"
"4",8901557,"ADMINISTRADORA INTEGRAL BAHIA DE SANTA LUCIA","ADMINISTRADORA INTEGRAL BAHIA DE SANTA LUCIA",721111,"Hoteles con otros servicios integrados","101 a 250 personas","PRIVADA","Sierra Candela","CALLE","Sierra Candela","CALLE","Monte Grampianos","CALLE","Sierra Mojada",111,"","CXANDELA","PISO 3",3,"","COLONIA","LOMA DE CHAPULTEPEC","EDIFICIO COMERCIAL Y DE SERVICIOS","TORRE CANDELA","3",11000,9,"CIUDAD DE MÉXICO",16,"Miguel Hidalgo",1,"Miguel Hidalgo","730",1,"","","","Fijo",19.43110155,-99.21309412,"2019-11"
"5",6259066,"ALIANZAS FEPRO","ALIANZAS FEPRO SA DE CV",721112,"Hoteles sin otros servicios integrados","11 a 30 personas","CALZADA","CALZADA DE TLALPAN","CALLE","INGENIERO PASCUAL ORTIZ RUBIO","CALLE","SAN SIMON","CALLE","CENTENARIO",1221,"","","",NA,"1221","COLONIA","SAN SIMON TICUMAN","","","",3660,9,"CIUDAD DE MÉXICO",14,"Benito Juárez",1,"Benito Juárez","651",10,"","FACTURACIONHOTELGRACI@GMAIL.COM","","Fijo",19.37314379,-99.14134617,"2010-07"
"6",6733853,"ALMACEN DE HOTEL VILLA SOLARIS","",721111,"Hoteles con otros servicios integrados","0 a 5 personas","EJE VIAL","5 ORIENTE (AVENIDA JAVIER ROJO GÓMEZ)","AVENIDA","CANAL DEL MORAL","AVENIDA","JALISCO","CALLE","HERMENEGILDO GALEANA",514,"","","",0,"","COLONIA","GUADALUPE DEL MORAL","","","",9300,9,"CIUDAD DE MÉXICO",7,"Iztapalapa",1,"Iztapalapa","3651",8,"","ATORIZ@HOTELESSOLARIS.COM","WWW.HOTELESSOLARIS.COM","Fijo",19.37276853,-99.07979536,"2016-10"
"7",6726909,"APARTAMENTOS MADRID ONCE","APARTAMENTOS MADRID ONCE SA",721111,"Hoteles con otros servicios integrados","0 a 5 personas","CALLE","MADRID","CALLE","PARÍS","CALLE","MAESTRO ANTONIO CASO","CALLE","MADRID",11,"","","",0,"","COLONIA","TABACALERA","","","",6030,9,"CIUDAD DE MÉXICO",15,"Cuauhtémoc",1,"Cuauhtémoc","070A",13,"","","","Fijo",19.43355392,-99.15650246,"2016-01"
"8",6812838,"AQUA MÉXICO CITY HOTELS & SPA","HOTELES Y VILLAS POSADAS SA DE CV",721111,"Hoteles con otros servicios integrados","101 a 250 personas","AVENIDA","FEDERAL MÉXICO TOLUCA","AUTOPISTA","23","CALLE","B","CARRETERA","8",98,"","","",0,"","COLONIA","BOSQUES DE LAS LOMA","","","",5120,9,"CIUDAD DE MÉXICO",10,"Álvaro Obregón",1,"Álvaro Obregón","1379",25,"","VERONICA.AREVALO@POSADAS.COM","","Fijo",19.38328865,-99.25100761,"2017-11"
"9",9311159,"ARRIVA HOSPITALITY GROUP","INMOBILIARIA HOTELERA TAPATIA",721111,"Hoteles con otros servicios integrados","0 a 5 personas","AVENIDA","Avenida de las Naciones","CALLE","Dakota","AVENIDA","Insurgentes Sur","CALLE","Filadelfia",0,"SN","WORLD TRADE CENTER","PISO 39",0,"","COLONIA","NAPOLES","","","OFICINA 1",3810,9,"CIUDAD DE MÉXICO",14,"Benito Juárez",1,"Benito Juárez","219",1,"","AHERNANDEZ@ARRIVAHOTELS.COM","WWW.ARRIVAHOTELS.MX","Fijo",19.39474079,-99.17372024,"2020-11"
"10",6307767,"AUTO HOTEL LEGARIA","AUTO HOTEL LEGARIA SA DE CV",721113,"Moteles","31 a 50 personas","AVENIDA","CALZADA LEGARIA","CALLE","CERRADA LAGO ONTARIO","CALLE","PROLONGACION LAGO MICHIGAN","CALLE","CERRADA LAGO ONTARIO",50,"","","",NA,"","COLONIA","LEGARIA","","","",11410,9,"CIUDAD DE MÉXICO",16,"Miguel Hidalgo",1,"Miguel Hidalgo","143",12,"","CONTACTO@AUTOHOTELLEGARIA.COM.MX","","Fijo",19.45618925,-99.19422027,"2010-07"
